year,governorate,production_tonnes,stage1_T014_ha,palm_fraction,palm_area_ha,yield_t_per_ha
2002,Gabes,18000.0,9996.442144545515,0.09591228248968467,958.7815828594387,18.77382745120885
2003,Gabes,17500.0,11140.363567189965,0.09591228248968467,1068.497697494115,16.37813543355472
2004,Gabes,20000.0,12972.363104773956,0.09591228248968467,1244.2089546638426,16.074470389423897
2005,Gabes,21000.0,10766.620553780256,0.09591228248968467,1032.6511520134172,20.336005977483428
2006,Gabes,20000.0,17979.62845104858,0.09591228248968467,1724.4672030565428,11.597785080835909
2007,Gabes,18670.0,40449.647894735055,0.09591228248968467,3879.6180554881075,4.812329392474452
2008,Gabes,21100.0,13715.828457524389,0.09591228248968467,1315.5164135981352,16.03932857233482
2009,Gabes,21680.0,18052.781876726265,0.09591228248968467,1731.4835150852293,12.521054812891382
2010,Gabes,25850.0,16974.85622520795,0.09591228248968467,1628.0972054939273,15.877430360282268
2011,Gabes,26040.0,12083.337034165492,0.09591228248968467,1158.940435038949,22.468799269329885
2012,Gabes,26080.0,24037.281798762637,0.09591228248968467,2305.470562167078,11.312224249562973
2013,Gabes,27850.0,25313.45706082345,0.09591228248968467,2427.8714444082016,11.470953317624481
2014,Gabes,25300.0,36483.80574485948,0.09591228248968467,3499.2450828997426,7.230130899843826
2015,Gabes,30230.0,44274.94571956928,0.09591228248968467,4246.511101070784,7.118785111000255
2016,Gabes,27100.0,48242.45023644613,0.09591228248968467,4627.043515072576,5.856871652864697
2017,Gabes,27900.0,91765.96349303429,0.09591228248968467,8801.483013481995,3.1699203369776603
2018,Gabes,19342.0,99691.63670212743,0.09591228248968467,9561.652421233463,2.022872109118652
2019,Gabes,22750.0,69188.33333939074,0.09591228248968467,6636.010972238112,3.42826437375934
2020,Gabes,30000.0,85242.16377438059,0.09591228248968467,8175.770491960357,3.6693789324811035
2021,Gabes,25000.0,57234.38370390289,0.09591228248968467,5489.480377931738,4.5541651083229135
2022,Gabes,25000.0,38964.77289204056,0.09591228248968467,3737.2003047678013,6.689499615020847
2023,Gabes,22000.0,39935.48232624045,0.09591228248968467,3830.303262236184,5.743670538284245
2024,Gabes,22000.0,76536.56189286798,0.09591228248968467,7340.796345057988,2.9969500536288494
2002,Gafsa,4810.0,6502.385564629888,0.04017031131267565,261.2028524062308,18.41480656007285
2003,Gafsa,4920.0,15460.588136297154,0.04017031131267565,621.0566385121165,7.921982786927433
2004,Gafsa,4920.0,13272.530100365566,0.04017031131267565,533.161666038543,9.227970263796735
2005,Gafsa,5420.0,10055.840890072956,0.04017031131267565,403.946259064964,13.417626425222908
2006,Gafsa,6320.0,26693.28801226126,0.04017031131267565,1072.2776894114477,5.893995615509752
2007,Gafsa,6120.0,37823.43696762982,0.04017031131267565,1519.3792379050547,4.027960793013309
2008,Gafsa,6010.0,8762.972146538015,0.04017031131267565,352.0113191507377,17.073314615279198
2009,Gafsa,7070.0,95113.86720932194,0.04017031131267565,3820.7536559509545,1.8504202669513208
2010,Gafsa,6680.0,44620.214497441935,0.04017031131267565,1792.4079072006057,3.726830245037731
2011,Gafsa,7000.0,35864.789463794354,0.04017031131267565,1440.6997579241888,4.8587500355284625
2012,Gafsa,7630.0,20919.75595393309,0.04017031131267565,840.3531092546922,9.079516593646014
2013,Gafsa,7160.0,40762.18311095681,0.04017031131267565,1637.4295853514245,4.3727071161129185
2014,Gafsa,7880.0,84037.98294495481,0.04017031131267565,3375.8319369881615,2.3342394251505163
2015,Gafsa,6950.0,144420.1257935438,0.04017031131267565,5801.401412942432,1.197986401095284
2016,Gafsa,9030.0,52601.42973889754,0.04017031131267565,2113.015808103349,4.273512751475987
2017,Gafsa,9300.0,114082.09016667969,0.04017031131267565,4582.713077196257,2.0293655403121638
2018,Gafsa,9309.0,105801.39149300929,0.04017031131267565,4250.074833588456,2.190314374333064
2019,Gafsa,9038.0,102510.8181617758,0.04017031131267565,4117.891478475619,2.1948125751351104
2020,Gafsa,11500.0,80490.56637036082,0.04017031131267565,3233.331108830975,3.5567034779057547
2021,Gafsa,11700.0,48768.96085833178,0.04017031131267565,1959.064340074881,5.972238767590855
2022,Gafsa,11700.0,81101.64194340528,0.04017031131267565,3257.878204835743,3.591294475844254
2023,Gafsa,12000.0,84974.80748995893,0.04017031131267565,3413.4644706063327,3.515489937959847
2024,Gafsa,12500.0,82907.10591946609,0.04017031131267565,3330.4042548179273,3.7532981114580557
