governorate,year,aquifer_type,aquifer_name,resources_Mm3,exploitation_Mm3,exploitation_rate_pct,well_count,wells_equipped
Gabes,2024,deep,الجفارة :الحامة - شانشو,28.5,15.3,53.68421052631579,34,
Gabes,2024,deep,الجفارة :قابس الجنوبية,36.0,48.9,135.8333333333333,175,
Gabes,2024,deep,الجفارة :قابس الشمالية,50.6,42.0,83.00395256916995,57,
Gabes,2024,deep,الظاهر مطماطة,6.0,0.4,6.666666666666667,7,
Gabes,2024,deep,القاري الوسيط,34.0,26.5,77.94117647058823,14,
Gabes,2024,deep,كريتاسي سيدي منصور,0.7,2.2,314.2857142857143,55,
Gabes,2024,deep,مجموع الجفارة,115.1,106.2,92.26759339704606,266,
Gabes,2024,deep_total,TOTAL_DEEP,155.8,135.3,86.8421052631579,342,292.0
Gabes,2024,shallow,Echareb - Soukra,0.78,0.02,2.564102564102564,30,3.0
Gabes,2024,shallow,El Bhaier,1.26,0.44,34.92063492063492,23,10.0
Gabes,2024,shallow,El Hamma - Chanchou,4.4,8.96,203.6363636363636,1083,863.0
Gabes,2024,shallow,Gabes  Nord,3.7,2.9,78.37837837837837,394,298.0
Gabes,2024,shallow,Gabes sud,9.64,13.12,136.0995850622406,852,1370.0
Gabes,2024,shallow,Matmata,1.2,0.7,58.33333333333334,167,137.0
Gabes,2024,shallow,Menzel Habib,3.4,1.96,57.64705882352941,326,265.0
Gabes,2024,shallow_total,TOTAL_SHALLOW,24.38,28.1,115.2584085315833,3354,2946.0
Gafsa,2020,agg_deep,المائدة العميقة,95.1,118.405,124.5057833859096,693,495.0
Gafsa,2020,agg_shallow,المائدة السطحية,33.3,52.25,156.9069069069069,8802,6695.0
Gafsa,2020,agg_total,المجموع,230.8,224.21,97.14471403812824,9182,7190.0
Gafsa,2021,agg_deep,المائدة العميقة,95.1,114.86,120.7781282860147,813,620.0
Gafsa,2021,agg_shallow,المائدة السطحية,33.3,53.52,160.7207207207207,8906,6991.0
Gafsa,2021,agg_total,المجموع,230.8,219.121,94.9397746967071,9719,7611.0
Gafsa,2022,agg_deep,المائدة العميقة,95.1,138.47,145.6046267087277,819,
Gafsa,2022,agg_shallow,المائدة السطحية,33.3,54.39,163.3333333333333,8906,6991.0
Gafsa,2022,agg_total,المجموع,230.8,243.46,105.4852686308492,9725,6991.0
Gafsa,2023,agg_deep,المائدة العميقة,95.1,138.47,145.6046267087277,819,
Gafsa,2023,agg_shallow,المائدة السطحية,33.3,54.39,163.3333333333333,8906,6991.0
Gafsa,2023,agg_total,المجموع,230.8,244.06,105.7452339688042,9725,6991.0
Gafsa,2023,shallow,أم الأقصاب,8.3,8.63,103.9759036144578,381,349.0
Gafsa,2023,shallow,أم العرائس-الرديف,2.7,6.99,258.8888888888889,1224,1030.0
Gafsa,2023,shallow,أولاد منصور,0.6,0.26,43.33333333333334,115,35.0
Gafsa,2023,shallow,السند الجبل,0.2,0.07,35.0,33,4.0
Gafsa,2023,shallow,بوعمران-بوسعد,0.3,0.12,40.0,55,23.0
Gafsa,2023,shallow,حوال الوادي,1.0,1.33,133.0,194,132.0
Gafsa,2023,shallow,سبسب الحمارة,0.6,1.32,220.0,186,194.0
Gafsa,2023,shallow,سوينية الجبل,0.2,0.07,35.0,18,4.0
Gafsa,2023,shallow,شط الغرسة,1.7,3.25,191.1764705882353,724,499.0
Gafsa,2023,shallow,عليم الدخلة,1.3,1.31,100.7692307692308,72,21.0
Gafsa,2023,shallow,قرعة السند-ماجورة,1.2,1.26,105.0,236,189.0
Gafsa,2023,shallow,قفصة الجنوبية-القطار,3.2,6.23,194.6875,1375,887.0
Gafsa,2023,shallow,قفصة الشمالية,12.0,23.55,196.25,4293,3624.0
Gafsa,2023,shallow_total,TOTAL_SHALLOW,33.3,54.38999999999999,163.3333333333333,8906,6991.0
Gafsa,2024,agg_deep,المائدة العميقة,95.1,138.47,145.6046267087277,819,
Gafsa,2024,agg_shallow,المائدة السطحية,33.3,54.39,163.3333333333333,8906,6991.0
Gafsa,2024,agg_total,المجموع,230.8,243.46,105.4852686308492,9725,6991.0
Gafsa,2024,shallow,أم الأقصاب,8.3,8.63,103.9759036144578,381,349.0
Gafsa,2024,shallow,أم العرائس-الرديف,2.7,6.99,258.8888888888889,1239,1030.0
Gafsa,2024,shallow,أولاد منصور,0.6,0.26,43.33333333333334,115,35.0
Gafsa,2024,shallow,السند الجبل,0.2,0.07,35.0,33,4.0
Gafsa,2024,shallow,بوعمران-بوسعد,0.3,0.12,40.0,55,23.0
Gafsa,2024,shallow,حوال الوادي,1.0,1.33,133.0,204,132.0
Gafsa,2024,shallow,سبسب الحمارة,0.6,1.32,220.0,187,194.0
Gafsa,2024,shallow,سوينية الجبل,0.2,0.07,35.0,18,4.0
Gafsa,2024,shallow,شط الغرسة,1.7,3.25,191.1764705882353,724,499.0
Gafsa,2024,shallow,عليم الدخلة,1.3,1.31,100.7692307692308,72,21.0
Gafsa,2024,shallow,قرعة السند-ماجورة,1.2,1.26,105.0,236,189.0
Gafsa,2024,shallow,قفصة الجنوبية-القطار,3.2,6.23,194.6875,1399,887.0
Gafsa,2024,shallow,قفصة الشمالية,12.0,23.55,196.25,4293,3624.0
