governorate,year,month,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,image_count
Gabes,2002,1,,,,,,,0
Gabes,2002,2,,,,,,,0
Gabes,2002,3,,,,,,,0
Gabes,2002,4,,,,,,,0
Gabes,2002,5,,,,,,,0
Gabes,2002,6,,,,,,,0
Gabes,2002,7,,,,,,,0
Gabes,2002,8,,,,,,,0
Gabes,2002,9,,,,,,,0
Gabes,2002,10,,,,,,,0
Gabes,2002,11,,,,,,,0
Gabes,2002,12,,,,,,,0
Gabes,2003,1,,,,,,,0
Gabes,2003,2,,,,,,,0
Gabes,2003,3,,,,,,,0
Gabes,2003,4,,,,,,,0
Gabes,2003,5,,,,,,,0
Gabes,2003,6,,,,,,,0
Gabes,2003,7,,,,,,,0
Gabes,2003,8,,,,,,,0
Gabes,2003,9,,,,,,,0
Gabes,2003,10,,,,,,,0
Gabes,2003,11,,,,,,,0
Gabes,2003,12,,,,,,,0
Gabes,2004,1,,,,,,,0
Gabes,2004,2,,,,,,,0
Gabes,2004,3,,,,,,,0
Gabes,2004,4,,,,,,,0
Gabes,2004,5,,,,,,,0
Gabes,2004,6,,,,,,,0
Gabes,2004,7,,,,,,,0
Gabes,2004,8,,,,,,,0
Gabes,2004,9,,,,,,,0
Gabes,2004,10,,,,,,,0
Gabes,2004,11,,,,,,,0
Gabes,2004,12,,,,,,,0
Gabes,2005,1,,,,,,,0
Gabes,2005,2,,,,,,,0
Gabes,2005,3,,,,,,,0
Gabes,2005,4,,,,,,,0
Gabes,2005,5,,,,,,,0
Gabes,2005,6,,,,,,,0
Gabes,2005,7,,,,,,,0
Gabes,2005,8,,,,,,,0
Gabes,2005,9,,,,,,,0
Gabes,2005,10,,,,,,,0
Gabes,2005,11,,,,,,,0
Gabes,2005,12,,,,,,,0
Gabes,2006,1,,,,,,,0
Gabes,2006,2,,,,,,,0
Gabes,2006,3,,,,,,,0
Gabes,2006,4,,,,,,,0
Gabes,2006,5,,,,,,,0
Gabes,2006,6,,,,,,,0
Gabes,2006,7,,,,,,,0
Gabes,2006,8,,,,,,,0
Gabes,2006,9,,,,,,,0
Gabes,2006,10,,,,,,,0
Gabes,2006,11,,,,,,,0
Gabes,2006,12,,,,,,,0
Gabes,2007,1,,,,,,,0
Gabes,2007,2,,,,,,,0
Gabes,2007,3,,,,,,,0
Gabes,2007,4,,,,,,,0
Gabes,2007,5,,,,,,,0
Gabes,2007,6,,,,,,,0
Gabes,2007,7,,,,,,,0
Gabes,2007,8,,,,,,,0
Gabes,2007,9,,,,,,,0
Gabes,2007,10,,,,,,,0
Gabes,2007,11,,,,,,,0
Gabes,2007,12,,,,,,,0
Gabes,2008,1,,,,,,,0
Gabes,2008,2,,,,,,,0
Gabes,2008,3,,,,,,,0
Gabes,2008,4,,,,,,,0
Gabes,2008,5,,,,,,,0
Gabes,2008,6,,,,,,,0
Gabes,2008,7,,,,,,,0
Gabes,2008,8,,,,,,,0
Gabes,2008,9,,,,,,,0
Gabes,2008,10,,,,,,,0
Gabes,2008,11,,,,,,,0
Gabes,2008,12,,,,,,,0
Gabes,2009,1,,,,,,,0
Gabes,2009,2,,,,,,,0
Gabes,2009,3,,,,,,,0
Gabes,2009,4,,,,,,,0
Gabes,2009,5,,,,,,,0
Gabes,2009,6,,,,,,,0
Gabes,2009,7,,,,,,,0
Gabes,2009,8,,,,,,,0
Gabes,2009,9,,,,,,,0
Gabes,2009,10,,,,,,,0
Gabes,2009,11,,,,,,,0
Gabes,2009,12,,,,,,,0
Gabes,2010,1,,,,,,,0
Gabes,2010,2,,,,,,,0
Gabes,2010,3,,,,,,,0
Gabes,2010,4,,,,,,,0
Gabes,2010,5,,,,,,,0
Gabes,2010,6,,,,,,,0
Gabes,2010,7,,,,,,,0
Gabes,2010,8,,,,,,,0
Gabes,2010,9,,,,,,,0
Gabes,2010,10,,,,,,,0
Gabes,2010,11,,,,,,,0
Gabes,2010,12,,,,,,,0
Gabes,2011,1,,,,,,,0
Gabes,2011,2,,,,,,,0
Gabes,2011,3,,,,,,,0
Gabes,2011,4,,,,,,,0
Gabes,2011,5,,,,,,,0
Gabes,2011,6,,,,,,,0
Gabes,2011,7,,,,,,,0
Gabes,2011,8,,,,,,,0
Gabes,2011,9,,,,,,,0
Gabes,2011,10,,,,,,,0
Gabes,2011,11,,,,,,,0
Gabes,2011,12,,,,,,,0
Gabes,2012,1,,,,,,,0
Gabes,2012,2,,,,,,,0
Gabes,2012,3,,,,,,,0
Gabes,2012,4,,,,,,,0
Gabes,2012,5,,,,,,,0
Gabes,2012,6,,,,,,,0
Gabes,2012,7,,,,,,,0
Gabes,2012,8,,,,,,,0
Gabes,2012,9,,,,,,,0
Gabes,2012,10,,,,,,,0
Gabes,2012,11,,,,,,,0
Gabes,2012,12,,,,,,,0
Gabes,2013,1,,,,,,,0
Gabes,2013,2,,,,,,,0
Gabes,2013,3,,,,,,,0
Gabes,2013,4,,,,,,,0
Gabes,2013,5,,,,,,,0
Gabes,2013,6,,,,,,,0
