governorate,year,month,temp_2m_K_mean,temp_2m_K_max,temp_2m_K_std,image_count,precip_m_mean,precip_m_max,precip_m_std,dewpoint_2m_K_mean,dewpoint_2m_K_max,dewpoint_2m_K_std,solar_rad_Jm2_mean,solar_rad_Jm2_max,solar_rad_Jm2_std,wind_u_ms_mean,wind_u_ms_max,wind_u_ms_std,wind_v_ms_mean,wind_v_ms_max,wind_v_ms_std
Gabes,2002,1,282.7553372801393,282.7553372801393,0,1,0.0019328100443122109,0.0019328100443122109,0,275.80653480642735,275.80653480642735,0,384823902.5253238,384823902.5253238,0,0.9569914752960752,0.9569914752960752,0,0.2560519008508852,0.2560519008508852,0
Gabes,2002,2,285.9999308516964,285.9999308516964,0,1,0.005186921827833525,0.005186921827833525,0,275.55190972079356,275.55190972079356,0,457830965.8296748,457830965.8296748,0,1.0484408415857915,1.0484408415857915,0,-0.03162011752750106,-0.03162011752750106,0
Gabes,2002,3,289.8663399790592,289.8663399790592,0,1,0.0051678864331470235,0.0051678864331470235,0,276.69318541679775,276.69318541679775,0,613986594.9318309,613986594.9318309,0,-0.9534249582894662,-0.9534249582894662,0,-0.41863374859469016,-0.41863374859469016,0
Gabes,2002,4,291.81244890673645,291.81244890673645,0,1,0.015919511347012305,0.015919511347012305,0,279.28485198609906,279.28485198609906,0,733842363.4935217,733842363.4935217,0,-0.436475102939365,-0.436475102939365,0,0.01675145206502749,0.01675145206502749,0
Gabes,2002,5,295.1729842780791,295.1729842780791,0,1,0.011868940685420612,0.011868940685420612,0,283.1020552449284,283.1020552449284,0,828335927.9060564,828335927.9060564,0,-3.070400548875492,-3.070400548875492,0,-0.7120253824920304,-0.7120253824920304,0
Gabes,2002,6,299.5414192235969,299.5414192235969,0,1,0.0004190187904438205,0.0004190187904438205,0,285.0410524033976,285.0410524033976,0,850572573.5136521,850572573.5136521,0,-3.480721918086561,-3.480721918086561,0,0.0011089665314110418,0.0011089665314110418,0
Gabes,2002,7,301.9280310064113,301.9280310064113,0,1,0.0004580035137979177,0.0004580035137979177,0,288.0911131088051,288.0911131088051,0,852600305.2503835,852600305.2503835,0,-4.340639174019505,-4.340639174019505,0,-0.6121017882088442,-0.6121017882088442,0
Gabes,2002,8,301.96603572855184,301.96603572855184,0,1,0.002204088577655836,0.002204088577655836,0,290.51378755831314,290.51378755831314,0,763024491.0448655,763024491.0448655,0,-3.830042812515235,-3.830042812515235,0,-0.7771721114384144,-0.7771721114384144,0
Gabes,2002,9,299.3607805447059,299.3607805447059,0,1,0.01717666569857752,0.01717666569857752,0,288.48365074087934,288.48365074087934,0,607210313.7276075,607210313.7276075,0,-1.9983534160720957,-1.9983534160720957,0,-0.49275233860272627,-0.49275233860272627,0
Gabes,2002,10,294.325596990576,294.325596990576,0,1,0.020823394255378453,0.020823394255378453,0,284.882642397733,284.882642397733,0,531176960.6702505,531176960.6702505,0,0.36369101233120993,0.36369101233120993,0,0.7729438511342596,0.7729438511342596,0
Gabes,2002,11,289.52732594729787,289.52732594729787,0,1,0.02015239433818174,0.02015239433818174,0,279.3913429079443,279.3913429079443,0,365399614.05760765,365399614.05760765,0,3.0589482548914293,3.0589482548914293,0,1.6036663836936123,1.6036663836936123,0
Gabes,2002,12,284.9119044417001,284.9119044417001,0,1,0.007025873217751867,0.007025873217751867,0,278.19246233592855,278.19246233592855,0,338623173.6608488,338623173.6608488,0,3.3848025864840827,3.3848025864840827,0,1.5259349356116416,1.5259349356116416,0
Gabes,2003,1,284.0796192855964,284.0796192855964,0,1,0.03143856515690257,0.03143856515690257,0,277.0451482795888,277.0451482795888,0,348567603.88692576,348567603.88692576,0,3.232030863527892,3.232030863527892,0,1.2383067478199703,1.2383067478199703,0
Gabes,2003,2,283.2772940316234,283.2772940316234,0,1,0.019783540164399042,0.019783540164399042,0,275.83343602306667,275.83343602306667,0,421571454.62119406,421571454.62119406,0,0.752005131242467,0.752005131242467,0,-0.47282001893769654,-0.47282001893769654,0
Gabes,2003,3,286.3707660814914,286.3707660814914,0,1,0.012412914715166659,0.012412914715166659,0,278.5034757417183,278.5034757417183,0,580687394.591878,580687394.591878,0,-1.3603484594282267,-1.3603484594282267,0,-0.5432351825302774,-0.5432351825302774,0
Gabes,2003,4,291.3051265969917,291.3051265969917,0,1,0.015736497396921168,0.015736497396921168,0,281.9878191580182,281.9878191580182,0,711808442.8694718,711808442.8694718,0,-1.8061530468985385,-1.8061530468985385,0,-0.6513766666312267,-0.6513766666312267,0
Gabes,2003,5,295.97239834914353,295.97239834914353,0,1,0.005865138122443354,0.005865138122443354,0,283.5624638290492,283.5624638290492,0,805898230.473855,805898230.473855,0,-3.6506909501453255,-3.6506909501453255,0,-1.06490122073417,-1.06490122073417,0
Gabes,2003,6,300.1305708667578,300.1305708667578,0,1,0.00026380096909948503,0.00026380096909948503,0,286.37124206999175,286.37124206999175,0,855482735.6263694,855482735.6263694,0,-3.5446404393045734,-3.5446404393045734,0,-0.8510005051960438,-0.8510005051960438,0
Gabes,2003,7,304.3205610335634,304.3205610335634,0,1,0.0007480163981273171,0.0007480163981273171,0,287.8389534312733,287.8389534312733,0,870709117.8331724,870709117.8331724,0,-3.1222015771296054,-3.1222015771296054,0,-0.0951638714954912,-0.0951638714954912,0
Gabes,2003,8,303.21261366769,303.21261366769,0,1,0.0015872569289338732,0.0015872569289338732,0,288.6264874019896,288.6264874019896,0,784952469.430988,784952469.430988,0,-2.651805491170855,-2.651805491170855,0,-0.29119168217808294,-0.29119168217808294,0
Gabes,2003,9,299.14447566137244,299.14447566137244,0,1,0.03063095409417662,0.03063095409417662,0,290.1217361770101,290.1217361770101,0,614881024.2623439,614881024.2623439,0,-2.3440767881642417,-2.3440767881642417,0,-0.7300322806971373,-0.7300322806971373,0
Gabes,2003,10,297.7153119778305,297.7153119778305,0,1,0.010307728546444213,0.010307728546444213,0,286.4513356186611,286.4513356186611,0,477916985.6639191,477916985.6639191,0,0.1526769349490586,0.1526769349490586,0,0.8063510476364841,0.8063510476364841,0
Gabes,2003,11,289.83287716873946,289.83287716873946,0,1,0.01808283703848456,0.01808283703848456,0,282.19164046060274,282.19164046060274,0,365120703.6229431,365120703.6229431,0,-0.1133741479998588,-0.1133741479998588,0,0.4912915245166972,0.4912915245166972,0
Gabes,2003,12,283.3135742432842,283.3135742432842,0,1,0.0420196217243817,0.0420196217243817,0,278.63662600547286,278.63662600547286,0,321660851.6569225,321660851.6569225,0,2.454394332356542,2.454394332356542,0,0.5650123600760518,0.5650123600760518,0
Gabes,2004,1,283.18678553681656,283.18678553681656,0,1,0.02481208686199779,0.02481208686199779,0,277.77733360202154,277.77733360202154,0,374814965.30278033,374814965.30278033,0,2.6747784781455364,2.6747784781455364,0,0.9831449742378284,0.9831449742378284,0
