governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gabes,2002,1,18.998214151535798,15.129464524726027,2.2331610746320845
Gabes,2002,2,16.80608696267023,15.295596589940937,1.2359361513837148
Gabes,2002,3,17.400478441016965,6.888505889628361,3.30963956778726
Gabes,2002,4,6.927477101654684,5.74180530476765,1.6243704181188474
Gabes,2002,5,13.289194917433719,7.313206043539215,2.96996580318806
Gabes,2002,6,3.195229443998614,2.1409776032353243,1.8078750996951785
Gabes,2002,7,0.20959518638021685,0.20959518638021685,0.26966316686514663
Gabes,2002,8,2.2723969958934154,2.0038572114036404,1.20360759977712
Gabes,2002,9,10.341456521346538,7.397224497597919,1.7421254465797735
Gabes,2002,10,14.757125735034137,7.99867820717084,2.555496072283102
Gabes,2002,11,30.247160148622697,18.25432774352952,2.52842268570617
Gabes,2002,12,22.02863144976097,14.170262356196934,2.294005178686537
Gabes,2003,1,44.613715446627424,22.317030457222188,3.280162571425451
Gabes,2003,2,24.444903016933704,13.421832871232084,2.6854548831517877
Gabes,2003,3,27.24513832207339,18.377487356584158,2.4652295993619515
Gabes,2003,4,19.47180130312431,9.520496122646573,2.79084224671962
Gabes,2003,5,10.552713086235439,4.144613502604638,5.048214227184826
Gabes,2003,6,1.1856847437036901,1.1392167480902904,0.5983786559451103
Gabes,2003,7,0.0,0.0,0.0
Gabes,2003,8,0.047481555894907254,0.047481555894907254,0.03264539107823751
Gabes,2003,9,26.333358024568565,14.233639453408692,2.7955839132952387
Gabes,2003,10,18.938156307119375,7.328567960826534,4.255809634105037
Gabes,2003,11,27.226808278226624,13.799768679024437,2.9797331993138783
Gabes,2003,12,79.46284925561775,56.646102123810415,3.3024833659277397
Gabes,2004,1,36.60938132247109,28.236812889333063,1.804903363961149
Gabes,2004,2,12.803814916827953,5.997136758443072,3.062297195424401
Gabes,2004,3,38.10020842574613,13.439524411574276,4.5819248544177285
Gabes,2004,4,12.125412131559536,7.959543338860409,2.5527865485256047
Gabes,2004,5,3.541445727799175,2.300595267665652,1.0371029946792825
Gabes,2004,6,2.2537267873890463,1.6879829876159456,1.3020135694697854
Gabes,2004,7,0.0,0.0,0.0
Gabes,2004,8,0.6051311737407947,0.52308874825216,0.29833167629931506
Gabes,2004,9,11.47186912049649,8.381105577237584,1.9250729277059733
Gabes,2004,10,8.341492177242413,6.756965386634261,1.5455866446699955
Gabes,2004,11,26.46959932875908,16.01575695373408,2.250314108096887
Gabes,2004,12,50.18667367347749,18.819223095001618,4.1948453495613425
Gabes,2005,1,20.101862203119023,8.541081684701009,3.0229763244436185
Gabes,2005,2,10.329484251401349,7.405609897192155,2.2154617662161726
Gabes,2005,3,18.47718000282071,7.950366682616555,3.305476952659813
Gabes,2005,4,8.346201691930812,5.191375121297301,2.0506069114706817
Gabes,2005,5,5.3612658416995425,3.049314265400731,2.4093565973625846
Gabes,2005,6,4.550266292521232,1.6630742568110592,4.2841176020714755
Gabes,2005,7,0.08104967669870787,0.08104967669870787,0.15985097619333768
Gabes,2005,8,0.8334913546425151,0.830002130106173,0.36357875645970134
Gabes,2005,9,15.031867878745636,6.028742149894712,3.4068218815894413
Gabes,2005,10,9.187109751450718,5.542789908957085,2.025980836674715
Gabes,2005,11,32.98353770500251,15.000309920506076,3.601022626708475
Gabes,2005,12,60.66622629340265,27.866254469113397,3.633536911798447
Gabes,2006,1,57.13940743672288,21.706596319283875,4.043920506069116
Gabes,2006,2,25.361774796307976,18.02951214992043,2.928820373870576
Gabes,2006,3,6.9423835647073755,5.370012981959436,1.4285636246435556
Gabes,2006,4,11.926723606057362,3.9634741811602603,4.460575336778507
Gabes,2006,5,15.700077265882314,4.68520693590193,6.519365447016789
Gabes,2006,6,2.2597713031972906,1.5369534579474855,1.7422893290651045
Gabes,2006,7,0.36864200381153256,0.2616957514329724,0.4400135476187876
Gabes,2006,8,2.3137342854910177,2.2672396782622815,0.9579586797626986
Gabes,2006,9,22.15978133157599,11.080406091064471,2.85892995662577
Gabes,2006,10,23.066005642278853,9.337954476761436,3.5097073058811974
Gabes,2006,11,58.267652065998135,34.29946952952943,2.699100831430477
Gabes,2006,12,69.22432209802429,24.549325610229825,5.123960711905517
Gabes,2007,1,14.595378955990212,11.937918586802022,1.835549388718331
Gabes,2007,2,39.66709369216982,24.53555501067266,4.595964120661212
Gabes,2007,3,34.38712691160783,15.238513680380883,3.4275912552305856
