governorate,year,month,S2_scene_count,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std
Gabes,2015,1,0,,,,
Gabes,2015,2,0,,,,
Gabes,2015,3,0,,,,
Gabes,2015,4,0,,,,
Gabes,2015,5,0,,,,
Gabes,2015,6,0,,,,
Gabes,2015,7,1,0.07522680518568522,-0.28883306293532984,0.008919630698653305,0.01561304892697873
Gabes,2015,8,0,,,,
Gabes,2015,9,2,0.10653412446296984,-0.2851377268398689,0.07591410451458434,0.06660375585624881
Gabes,2015,10,1,0.07343730757291926,-0.28565236737971905,0.006156132235576316,0.011549606447234698
Gabes,2015,11,2,0.0887902937986663,-0.2734143772493634,0.018301790843393333,0.0299438267113897
Gabes,2015,12,4,0.08790085368551918,-0.2758125107511705,0.015998984566815106,0.02834227538890373
Gabes,2016,1,4,0.09113306106173046,-0.2813533387262026,0.030365917889568952,0.03772625642120902
Gabes,2016,2,4,0.09042980993387856,-0.2751475656049406,0.016620063927479806,0.026322480540120916
Gabes,2016,3,9,0.11332894135390473,-0.29871253388703145,0.05598514787391979,0.050324186204160556
Gabes,2016,4,1,0.1337795866437768,-0.3092579241472584,0.022918087740083595,0.02066261162281198
Gabes,2016,5,6,0.09313775457792013,-0.2697876882702518,0.042446302394003564,0.043300840464495366
Gabes,2016,6,7,0.08749681236330899,-0.27047442267532135,0.049749978441357395,0.051214608682104534
Gabes,2016,7,8,0.07773294193125566,-0.27785659341269725,0.011392729966117433,0.015959729691654437
Gabes,2016,8,7,0.08096250884873576,-0.26250454946774016,0.03977219880928498,0.04114910961898906
Gabes,2016,9,3,0.0766192651810374,-0.28313335380598176,0.011622706723991858,0.013615390724574157
Gabes,2016,10,1,0.06159422182908244,-0.2762141320803366,0.012024305192182163,0.014938267829844795
Gabes,2016,11,8,0.1089256009723479,-0.28769987765296884,0.058578851578095725,0.05276355256282904
Gabes,2016,12,5,0.12624583874042875,-0.2999109572801191,0.07251300669538861,0.06536125257768371
Gabes,2017,1,5,0.1406066250246729,-0.30562587718641104,0.08799994963805818,0.08566389784237959
Gabes,2017,2,7,0.1413165602916028,-0.3052646897238758,0.10302968215457038,0.10553044233252731
Gabes,2017,3,13,0.15857078168265315,-0.31673078108992325,0.07257504261719826,0.062029555478819484
Gabes,2017,4,10,0.13242657342304706,-0.2894572876685362,0.04907718454616232,0.043782158291309554
Gabes,2017,5,24,0.12326110129296255,-0.2898620638509805,0.05270646622089533,0.04766772679841264
Gabes,2017,6,22,0.10574912923931139,-0.2802463562559173,0.05045937987980327,0.04857206975592664
Gabes,2017,7,37,0.09843506741960496,-0.27551741908880567,0.044935196589442374,0.044465585850503406
Gabes,2017,8,31,0.0976937537081798,-0.27705919052259453,0.04434459106984796,0.0441441868614796
Gabes,2017,9,26,0.09124635837804428,-0.26937212442911784,0.04517245919705919,0.043487158150317604
Gabes,2017,10,25,0.10947237247076183,-0.27936416164299205,0.07800266754040043,0.07922494933994405
Gabes,2017,11,16,0.1413444142672081,-0.3043573593809573,0.09201727322067034,0.09009033784794779
Gabes,2017,12,9,0.17183260983967483,-0.32753502855386507,0.11141861154280913,0.11506535820337277
Gabes,2018,1,28,0.1730841855533971,-0.3341863717676388,0.09948048666153134,0.0901420837868046
Gabes,2018,2,22,0.1647488204823842,-0.32273308193519085,0.08911328522512531,0.07948140863630673
Gabes,2018,3,26,0.15428404136800167,-0.316560429504013,0.07571473094335693,0.0686208109264713
Gabes,2018,4,34,0.12410384774642548,-0.293344737158541,0.0494011050334153,0.0439149121925678
Gabes,2018,5,29,0.10847323326140114,-0.2746844596990875,0.044360152240848105,0.042499343269610794
Gabes,2018,6,41,0.10113078916465895,-0.2737199341256533,0.045588453395729006,0.042107478076805566
Gabes,2018,7,43,0.090345397448199,-0.2610107069801731,0.037324645044571635,0.03692216847647455
Gabes,2018,8,34,0.08839900430255855,-0.25892199583455505,0.04778411902404005,0.043810007682326735
Gabes,2018,9,26,0.08833516015788312,-0.256043960949183,0.04598622775747138,0.04613006080506292
Gabes,2018,10,27,0.10812445857385711,-0.27848717214355334,0.05594369729673797,0.050873798700048434
Gabes,2018,11,29,0.1248388004086979,-0.2868773943308628,0.06953745133843486,0.05694007820333148
Gabes,2018,12,44,0.13013440452758687,-0.299228260522733,0.06954154265422839,0.059928835695652716
Gabes,2019,1,25,0.12581561037832426,-0.3001864228081712,0.06711402696582942,0.06341668442198634
Gabes,2019,2,22,0.12966155250378167,-0.29887970862642704,0.05716670889201576,0.05345032527254914
Gabes,2019,3,29,0.12259329301956226,-0.2929743744898004,0.05038822938344691,0.048044869192676
Gabes,2019,4,27,0.11601840925310346,-0.2800313064440244,0.05296554719887063,0.04746009949794794
Gabes,2019,5,35,0.10654852065029632,-0.27725052768005615,0.04778912554307753,0.04284069996861336
Gabes,2019,6,33,0.09480181087639097,-0.26437347858997284,0.03791452963366854,0.03674419434180409
Gabes,2019,7,40,0.0878519374148769,-0.2626127744943346,0.040289993131892105,0.03883902199228554
Gabes,2019,8,41,0.07986973724167815,-0.2523747971274579,0.04067959569150588,0.03825230746100589
Gabes,2019,9,36,0.08330327248735796,-0.2532311957068906,0.046939324375749186,0.04290245421571012
Gabes,2019,10,22,0.08962579006244119,-0.2542537256444475,0.05204364991657672,0.04598886022175393
Gabes,2019,11,28,0.12709974752653463,-0.29372616440064825,0.07765412540031918,0.06148127521490518
Gabes,2019,12,29,0.13906290245492975,-0.3038991470897566,0.07760151599208462,0.06415728750256626
Gabes,2020,1,33,0.14740384056523076,-0.31546244250876265,0.0831943390994541,0.06789395028668732
Gabes,2020,2,31,0.1478316428039112,-0.3085201042426155,0.07725141191669402,0.06258861433298639
Gabes,2020,3,32,0.13707353761423807,-0.30296370132715467,0.0657298694059235,0.0550935924040974
Gabes,2020,4,20,0.1214593665046756,-0.28428709328815466,0.056039788393304917,0.049721833264814747
Gabes,2020,5,27,0.1073456539755547,-0.27598885650943233,0.04977351437744196,0.04539985716596438
Gabes,2020,6,35,0.09278658639818956,-0.26226058057515195,0.04049065730533583,0.03648575520982641
Gabes,2020,7,42,0.08980908299568348,-0.2613797835394692,0.045719459349673815,0.04190383773376366
Gabes,2020,8,42,0.08700704433611688,-0.2598722668764669,0.04251738385829476,0.04034050010071444
Gabes,2020,9,28,0.09007837729436673,-0.2573374736482731,0.048979305466935144,0.04206036631334115
Gabes,2020,10,23,0.09952979527903708,-0.2678221413113124,0.05303636874073315,0.04531726647695962
Gabes,2020,11,33,0.10628552368581662,-0.2821472278237483,0.06414309247097903,0.05571378836391796
Gabes,2020,12,32,0.12991622660323945,-0.30078444214323563,0.07314309028389851,0.06284151819848569
Gabes,2021,1,31,0.13098977911853404,-0.29397796621218536,0.0677805383513823,0.05669237356936638
